source_sentence,target_sentence
He became BJP's Gujarat unit general secretary in 1998 and served as the chairman of manifesto committee during chief minister-ship of Keshubhai Patel. He was appointed as a chairman of Gujarat Tourism in 2006. He was a member of Rajya Sabha from 2006 to 2012.[5][7] He served as BJP's Gujarat unit general secretary four times and chairman of the the Gujarat Municipal Finance Board in 2013. during chief minister-ship of Narendra Modi.[6][7][8] ,"अखिलभारतीयविद्यार्थिपरिषदि (ABVP) सक्रियः विजयः स्वस्य सार्वजनिकजीवनस्य आरम्भम् अकरोत् । [5] ततः सः राष्ट्रियस्वयंसेवकसङ्घेन, जनसङ्घेन च सहापि सँल्लग्नः । भारतीयजनातपक्षस्य स्थापनायाः कालाद् अर्थात् १९७१ तमाद्वर्षाद् विजयः पक्षस्य कार्यकर्ता अस्ति । [4][5][7] १९७६ तमस्य वर्षस्य राष्ट्रियापत्कालसमये विजयः क्रमेण भावनगरस्य, भुज-महानगस्य च कारगारे बन्दी आसीत् । तयोः कारागरायोः सः ११ मासं यावद् आसीत् । [5][7] विजयः १९७८ तमात् वर्षात् १९८१ पर्यन्तं राष्ट्रियस्वयंसेवकसङ्घस्य प्रचारकोऽपि आसीत् । १९८७ तमे वर्षे राजकोटमहानगरपालिकायां विधायकत्वेन चितः सः जलनिकाससमितेः अध्यक्षः अभवत् । ततः समनन्तरे वर्षे सः राजकोटमहानगरपालिकायाः स्थायिसमितेः अध्यक्षः अभवत् । तस्मिन् अध्यक्षपदे सः १९८८ तः १९९६ पर्यन्तम् आरूढः । मध्ये १९९५ तमे वर्षे तस्य राजकोटमहानगरपालिकायाः स्थायिसमितेः अध्यक्षत्वेन पुनः चयनं जातम् । ततः सः १९९६ तः १९९७ पर्यन्तं राजकोटमहानगरस्य नगरपौरत्वेन (mayor) अपि कार्यम् अकरोत् । ततः १९९८ तमे वर्षे भाजप-पक्षस्य गुजरातराज्यविभागस्य विभागाध्यक्षः अभवत् । यदा केशुभाई पटेल इत्येषः गुजरातराज्यस्य मुख्यमन्त्री आसीत्, तदा विजयः घोषणापत्रसमितेः आध्यक्षम् अवहत् । २००६ तमे वर्षे गुजरातपर्टनवभागस्य अध्यक्षः जातः । २००६ - २०१२ सः राज्यसभायाः सदस्योऽपि आसीत् । [5][7] यदा नरेन्द्रमोदी गुजरातराज्यस्य मुख्यमन्त्री आसीत्, तदा विजयः भाजप-गुजरातविभागस्य आध्यक्षं चतुर्वारं, गुजरातमहानगरपालिकावित्तविभागस्य आध्यक्षम् एकवारं (२०१३) अवहत् । [6][7][8] "
"On 19 February 2016, Rupani became the state BJP president, replacing R. C. Faldu.[6][7] In August 2014, when Vajubhai Vala, the incumbent speaker of Gujarat Legislative Assembly, resigned as the MLA from Rajkot West as he was appointed as the governor of Karnataka.[9] Vijay Rupani was nominated by the BJP to contest his vacant seat.[3] He won the bypoll on 19 October 2014 by a huge margin.[4][6][10] ","२०१६ तमस्य वर्षस्य फरवरी-मासस्य एकोनविंशतितमे (१९/०२/२०१६) दिनाङ्के विजयः भाजप-दलस्य गुजरातविभागस्य अध्यक्षो जातः । तस्मात् पूर्वं तस्मिन् पदे आर्. सी. फाल्डु इत्येषः आरूढः आसीत् । [6][7] २०१४ अगस्तमासे यदा वजुभाई इत्येषः गुजरातविधानसभायाः वक्ता पश्चिमराजकोटस्य विधायकत्वेन त्यागपत्रं दत्त्वा कर्णाटक-राज्यस्य राज्यपालः अभवत्, [9] तदा भाजप-दलद्वारा विजयस्य नामाङ्कनं तद्रिक्तस्थानं पूर्ययितुम् अभवत् । [3] २०१४ तमस्य वर्षस्य अक्तूबर-मासस्य एरकोनविंशे (१९/१०/२०१४) दिनाङ्के विधायकस्य पदस्य निर्वाचने विजयः बहुमतेन जितः । [4][6][10] "
"Cite:http://articles.timesofindia.indiatimes.com/2010-10-31/mysore/28219086_1_kannada-sahitya-parishat-kannada-language-kannada-litterateurs ↑ ""Padma Awards"" (PDF). ","Cite:http://articles.timesofindia.indiatimes.com/2010-10-31/mysore/28219086_1_kannada-sahitya-parishat-kannada-language-kannada-litterateurs ↑ ""Padma Awards"". "
Archived from the original (PDF) on 15 November 2014. ,Archived from the original on 15 November 2014. 
"Retrieved July 21, 2015. Cite web URL http://mha.nic.in/sites/upload_files/mha/files/LST-PDAWD-2013.pdf Title Padma Awards Source date 2015 Publisher Ministry of Home Affairs, Government of India Archive URL http://www.webcitation.org/6U68ulwpb?url=http%3A%2F%2Fmha.nic.in%2Fsites%2Fupload_files%2Fmha%2Ffiles%2FLST-PDAWD-2013.pdf Archive date 15 November 2014 Dead URL yes URL access date July 21, 2015 ","Retrieved July 21, 2015. "
Layal Abboud on Facebook Layal Abboud on Instagram Layal Abboud on YouTube Layal Abboud on Twitter Layal Abboud on SoundCloud Layal Abboud on Myspace Layal Abboud on ReverbNation ,लयल आब्बोउद् on Facebook 
"Layal Abboud (Arabic: ليال عبود‎‎:pronounced [layāl ʿab'boud]; born 15 May 1982) is a Lebanese pop singer, folk music entertainer, sound-lyric poet, concert dancer, fit model, Muslim humanitarian and businesswoman.[1][2][3] ","लयल आब्बोउद् (अरबी: ليال عبود‎:[layāl ˈabˈboud];जन्म 15 मई, 1 9 82) एक लेबनानी पॉप गायिका, लोक संगीत मनोरंजन, ध्वनि-गीत कवि, संगीत नर्तक, फिट मॉडल, मुस्लिम मानवतावादी और व्यवसायी है।. [1][2][3] "
Layal Abboud ,लयल आब्बोउद् 
"Bhojpuri भोजपुरी bhōjpurī The word ""Bhojpuri"" in Kaithi script Native to India and Nepal Region Bihar, Jharkhand, Madhya Pradesh, and Uttar Pradesh in (Bhojpuri region and Purvanchal region) in India and Terai region and Madhesh region in Nepal Also spoken in: Mauritius, Guyana, Trinidad and Tobago, Suriname, Fiji the Caribbean, and South Africa Native speakers 51 million (Census of India -2011)[1] Language family Indo-European Indo-Iranian Indo-Aryan Eastern Zone Bihari Bhojpuri Writing system Kaithi (less used)[2] Devnagari (more used) Official status Official language in India (Jharkhand[3]) Fiji Nepal Language codes ISO 639-2 bho ISO 639-3 bho – inclusive code Individual codes: hns – Caribbean Hindustani hif – Fiji Hindi Glottolog bhoj1246[4] Linguasphere 59-AAF-sa ","Bhojpuri भोजपुरी फलकम्:IAST2 The word ""Bhojpuri"" in Kaithi script विस्तारः भारतम् , नेपालः प्रदेशः बिहार , उत्तरप्रदेश: स्थानीय वक्तारः 51 million (Census of India -2011)[1] (date missing) भाषाकुटुम्बः Indo-European Indo-Iranian Indo-Aryan Eastern Zone Bihari Bhojpuri लिपिः Kaithi (less used)[2] Devnagari (more used) आधिकारिकस्थितिः व्यावहारिकभाषा भारतम् (Jharkhand[3]) फलकम्:FIJ फलकम्:NEP नियन्त्रणम् राजकीयनियन्त्रणं नास्ति। भाषा कोड् ISO 639-2 bho ISO 639-3 bho – Macrolanguage individual codes: फलकम्:ISO639-3 documentation – [[Caribbean Hindustani]] फलकम्:ISO639-3 documentation – [[Fiji Hindi]] Linguasphere 59-AAF-sa This page contains IPA phonetic symbols in Unicode. Without proper rendering support, you may see question marks, boxes, or other symbols instead of Unicode characters. "
"Bhojpuri is one of the recognized national languages of Nepal and official language of Indian state Jharkhand. It is also a recognized language in Guyana, Suriname, and Mauritius.[8][9] Bhojpuri is also spoken by the first generation immigrants who migrated from the UP region which now encompasses parts of Bihar and Uttar Pradesh in India to the newly created Pakistan. It is, however, slowly dying out in Pakistan as the next generation prefers to speak Urdu, Pakistan's national language and lingua franca. ",भोजपुरी आर्यभाषापरिवारस्य एका भाषा अस्ति। भोजपुरीभाषा देवनागरीलिप्या लिख्यते| 
Translation ,अनुवाद 
"(1) In the name of Allah, the most gracious, the most merciful. ",१. अनन्तकरुणामयापारदयाप्रदः अल्लाहस्य नामे 
"(2) Praise be to Allah, the lord of the universe. ",२. प्रशंसम् सर्वलोकाणां प्रतिपालकः अल्लाहाय। 
"(3) The most gracious, the most merciful. ",३. अनन्तकरुणामयापारदयाप्रदः। 
(4) Master of the Day of Judgement. ,४. न्यायं क्षणं सम्राटः। 
"(5) You alone we worship, and [from] you alone we ask for help. ",५. वयं खलु त्वां आराधना कुर्म्मः अपिच ध्रुरमेव वयं तवाश्रयं गृह्नीमः। 
(6) Guide us [to] the straight path. ,६. यच्छतु अस्मान् ऋजुः मार्गम्। 
"(7) The path of those on whom you have bestowed your grace, not of those who earned [your] wrath, nor of those who have gone astray. ","७. तेषां मार्गे याः तव अनुग्रहः प्राप्तवान, न तेषां मार्गे याः अभवन् क्रोधस्य बलिः नैव मार्ग भ्रष्टः। "
Names ,नामाः 
"Al-Fatihah (Arabic: ٱلْفَاتِحَة‎, al-Fātiḥah, ""The Opening"" or ""The Opener"") is the first chapter (Surah) of the Quran. It is called Umm al-Kitab the 'Mother of the Book' according to the majority of the scholars,[1] and also believed to be a synthesis of the Quran.[2] ","सूरा अल-फतिहा (Arabic: ٱلْفَاتِحَة‎, al-Fātiḥah, ""The Opening"" or ""The Opener"")कुरान शास्त्रस्य प्रथमोऽध्यायः अस्ति।[1] "
References ,सन्दर्भ 
"Modern Vidya Niketan (MVN) Schools are located in the Faridabad, National Capital Region (NCR) of India. Modern Vidya Niketan has been categorised under English medium school .The schools are affiliated to Central Board of Secondary Education (CBSE), Delhi.[1] ",मॉडर्न विद्या निकेतन (MVN ) विद्यालयाः फरीदाबादनगरे संनिवेशिन्ति | 
"J. Sai Deepak is an Indian lawyer who became notable for appearing in the Supreme Court case pertaining to the entry of women into the Sabarimala Temple. He represented an organisation called People for Dharma that sought to represent the interests of Ayappan, the deity to whom Sabarimala is dedicated, and opposed the entry of women between the ages of 10 and 50 into the temple.[1] ",जे. साइ दीपक जे. साइ दीपक भारतीयाधिवक्ताः | 
"The Throne Verse (Arabic: آيَة الْكُرْسِي, ʾāyat al-kursī) is the 255th verse of the 2nd surah of the Quran, Al-Baqarah. The verse speaks about how nothing and nobody is regarded to be comparable to Allah.[1] ","महासनस्य अयातम् (Arabic: آيَة الْكُرْسِي, ʾāyat al-kursī) कुरआन शास्त्रे द्वितीय अध्यायस्य पञ्चपञ्चाशदधिकद्विशततमः अयातम् अस्ति৷ एष न किमपि वदति विना अल्लाहस्य एकत्वता अनन्यता च৷ "
References ,सन्धर्भानि 
Text and translation ,पाठ अनुवाद च 
"Arabic Transliteration English translation[4] بسم الله الرحمن الرحيم اللَّهُ لاَ إِلَهَ إِلاَّ هُوَ الْحَيُّ الْقَيُّومُ لاَ تَأْخُذُهُ سِنَةٌ وَلاَ نَوْمٌ لَهُ مَا فِي السَّمَاوَاتِ وَمَا فِي الأَرْضِ مَنْ ذَا الَّذِي يَشْفَعُ عِنْدَهُ إِلاَّ بِإِذْنِهِ يَعْلَمُ مَا بَيْنَ أَيْدِيهِمْ وَمَا خَلْفَهُمْ وَلاَ يُحِيطُونَ بِشَيْءٍ مِنْ عِلْمِهِ إِلاَّ بِمَا شَاءَ وَسِعَ كُرْسِيُّهُ السَّمَوٰتِ وَالأَرْضَ وَلاَ يَئُودُهُ حِفْظُهُمَا وَهُوَ الْعَلِيُّ الْعَظِيمُ Allāhu lā ʾilāha ʾillā huwa l-ḥayyu l-qayyūmu lā taʾḫuḏuhu sinatun wa-lā nawmun lahu mā fī s-samawāti wa-mā fī l-ʾarḍ man ḏā llaḏī yašfaʿu ʿindahu ʾillā bi-ʾiḏnihi yaʿlamu mā bayna ʾaydīhim wa-mā ḫalfahum wa-lā yuḥīṭūna bi-šayʾin min ʿilmihi ʾillā bi-mā shaʾāʾa wa-siʿa kursiyyuhu s-samāwāti wa-l-ʾarḍ. wa-lā yuʾūḏuhu ḥifẓuhuma wa-huwa l-ʿaliyyu l-ʿaẓīmu Allah! There is no deity but Him, the Alive, the Eternal. Neither slumber nor sleep overtaketh Him. ","Arabic Transliteration संस्कृतानुवादम्[1] بسم الله الرحمن الرحيم اللَّهُ لاَ إِلَهَ إِلاَّ هُوَ الْحَيُّ الْقَيُّومُ لاَ تَأْخُذُهُ سِنَةٌ وَلاَ نَوْمٌ لَهُ مَا فِي السَّمَاوَاتِ وَمَا فِي الأَرْضِ مَنْ ذَا الَّذِي يَشْفَعُ عِنْدَهُ إِلاَّ بِإِذْنِهِ يَعْلَمُ مَا بَيْنَ أَيْدِيهِمْ وَمَا خَلْفَهُمْ وَلاَ يُحِيطُونَ بِشَيْءٍ مِنْ عِلْمِهِ إِلاَّ بِمَا شَاءَ وَسِعَ كُرْسِيُّهُ السَّمَاو ;َاتِ وَالأَرْضَ وَلاَ يَئُودُهُ حِفْظُهُمَا وَهُوَ الْعَلِيُّ الْعَظِيمُ Bismillahir Rahmanir Rahim Allāhu lā ʾilāha ʾillā huwa l-ḥayyu l-qayyūmu lā taʾḫuḏuhu sinatun wa-lā nawmun lahu mā fī s-samawāti wa-mā fī l-ʾarḍ man ḏā llaḏī yašfaʿu ʿindahu ʾillā bi-ʾiḏnihi yaʿlamu mā bayna ʾaydīhim wa-mā ḫalfahum wa-lā yuḥīṭūna bi-šayʾin min ʿilmihi ʾillā bi-mā shaʾāʾa wa-siʿa kursiyyuhu s-samāwāti wa-l-ʾarḍ. wa-lā yuʾūḏuhu ḥifẓuhuma wa-huwa l-ʿaliyyu l-ʿaẓīmu परमकृपामयम् अपारदयाप्रदम् अल्लाहस्य नामे अल्लाहम् अपारञ्जीवम् अनन्तधारकम् अस्ति, न इलाहः (ईश्वरः, देवः) तद् विना। न तद् तन्द्रा स्पृशति न एव च निद्रा। तस्मै सन्ति यानि पृथ्व्याम् अपिच नभेषु। कः प्राप्नोति तस्मात् माध्यस्थ्यः तस्य आज्ञा विना? तद् जानाति यानि सन्ति तेषाम् अग्रेषु पृष्ठेषु च ।न तस्य ज्ञानात् किमपि ते गुण्ठयन्ति विना यत् तद् इच्छति। तस्य महासनं पृथ्वीम् अपि च नभान् वेष्टयति। न च एव क्लामयति एतयोः संरक्षणे तद् च परमोर्ध्वम् अतिमहानम् अस्ति. "
It was established by the Ministry of Human Resource Development in order to promote Higher Scientific Learning and Research as well as Scientific Exploration at the Undergraduate and Postgraduate levels of education and to create Scientists and Academicians of the highest quality. ,It was established by the Ministry of Human Resource Development in order to promote Higher Scientific Learning and Research as well as Scientific at the Undergraduate and Postgraduate levels of education and to create Scientists and Academicians of the highest quality. 
"Indian Institutes of Science Education and Research (IISERs) were created in 2006 through a proclamation of Ministry of Human Resource Development, Government of India, under the category of institutes of national importance, to promote quality education and research in basic sciences. Soon after the announcement, two of these institutes at Pune and Kolkata, respectively, were started in 2006. This was followed by institutes at Mohali (2007), Bhopal and Trivandrum (2008), Tirupati (2015) and Berhampur (2016). ","भारतीय विज्ञान शिक्षा व अनुसंधान संस्थानम् २००६ तमे वर्षे भारत सरकारस्य शिक्षामन्त्रालयेन (पूर्वे मानवसंबल बिकाश मंत्रालय रूपेण परिचितम्) गुणात्मकशिक्षा मौलिकविज्ञाने सोधकार्यं प्रोत्साहितुं च स्थापितम् अभवत् । राष्ट्रीय प्रयुक्तिविद्या विज्ञान शिक्षा व अनुसन्धान संस्थान् अधिनियम (NITSER), २००७ स्य संशोधनम् कृत्वा संसदे राष्ट्रीय प्रयुक्तिविद्या विज्ञान शिक्षा व अनुसन्धान संस्थान् बिल् (NITSER), २०१६ माध्यमेन मूलअधिनियमस्य द्वितीय परिशिष्ठे अयजर तिरुपती आयजर ब्रह्मपुरम्च अन्तर्भुक्तअभवताम् । २०१५ तमे वर्षे केंद्र बित्तमंत्री अरुण जेटली संसदे स्वस्य बजेट उदबोधने आयजर ब्रह्मपुरस्य घोषणा कृतवान् । तस्मात् पूर्वं पुणे कोलकाता च (२००६), मोहाली (२००७), भोपाल तिरुवनंतपुरम च (२००८) एतेषु स्थानेषु आयजराणाम् स्थापनमभबत् । "
"IISER Berhampur is temporarily functioning from its temporary campus at Government ITI Berhampur. The permanent campus is in construction at Laudigram near Berhampur. 19.1998217, 84.8396076 ",सम्प्रति ब्रह्मपुरनगरेस्थित सरकारी आई°टी°आई इति प्रतिष्ठानतः आयजर ब्रह्मपुर सामयिकरूपेण कार्यं करोति । ब्रह्मपुरनगरस्य निकटे स्थित लाउडिग्रामे अस्य स्थायी क्यांपसस्य निर्माणकार्यं भवति । 
History ,इतिहासः 
Campus ,क्याम्पस् 
Academic programs ,शैक्षणिककार्याणि 
See also ,आधारानि 
"Salempur Rajputana is a census town in the Roorkee Municipal Corporation of Roorkee in Haridwar district of the Indian state of Uttarakhand. It is a area in Roorkee, Ramnagar. Salempur Rajputana is famous for its ameliorative, productive and progressive industrial area. ",सलेमपुर राजपूतान रुड़किया: रुड़कीग्रामसंघनिगमे भारतीयराज्यउत्तरखण्डस्य हरिद्वारजनपदे एकम् जनगणना नगरी अस्ति। इयम् रुड़किया: रामनगरे क्षेत्र: अस्ति। 
Meanings ,अर्थ 
"2 Verily! Man is in loss, 3 Except those who believe (in Islamic Monotheism) and do righteous good deeds, and recommend one another to the truth (i.e. order one another to perform all kinds of good deeds (Al-Ma'ruf) which Allah has ordained, and abstain from all kinds of sins and evil deeds (Al-Munkar) which Allah has forbidden), and recommend one another to patience (for the sufferings, harms, and injuries which one may encounter in Allah's Cause during preaching His religion of Islamic Monotheism or Jihad, etc.). Translation:Noble Quran,[4] 1999 ",परमकृपामयस्य अपारदयाधारस्य अल्लाहस्य नामनि १. शपथः अपराह्नस्य। २. मनुष्यः एव क्षतिग्रस्थे भवति। ३. ते विना ये विश्वसिन्ति कुर्वन्ति च उत्तमम् अपि च उपदिशन्ति सत्यस्य धैर्यस्य च। 
"The Afternoon [1] (Arabic: العصر‎, al-‘aṣr, aka ""The Declining Day, Eventide, The Epoch, Time"") is the 103rd chapter (sūrah) of the Qur’ān, the Muslim holy book. It contains three verses (āyāt). Surat al-‘Asr is the second shortest chapter after al-Kawthar. ","सूराह अल-अस्र ( سورةر अर्थाद् अपराह्न, अन्तक्षण) [[कुरआन|कुरान्]] शास्तस्य त्र्यधिक शततम अध्यायः अपि च द्वितीय कनिष्ठ अध्यायः अस्ति। अस्य त्रय अयाताः भवति।[1] "
Text and transliteration ,मूलपाठस्य लिप्यन्तरण 
بِسْمِ ٱللَّهِ ٱلرَّحْمَٰنِ ٱلرَّحِيمِ‎ Bismi l-lāhi r-raḥmāni r-raḥīm(i) وَٱلْعَصْرِ ۝‎ 1 Wal‘aṣr(i) إِنَّ ٱلْإِنسَٰنَ لَفِى خُسْرٍ ۝‎ 2 ’inna l-’insāna lafī khusr(in) إِلَّا ٱلَّذِينَ ءَامَنُوا۟ وَعَمِلُوا۟ ٱلصَّٰلِحَٰتِ وَتَوَاصَوْا۟ بِٱلْحَقِّ وَتَوَاصَوْا۟ بِٱلصَّبْرِ ۝‎ 3 ’illa l-lzīna ’āmanū wa‘amilu ṣ-ṣāliḥāti watawāṣaw bilḥaqqi watawāṣaw biṣṣabr(i) ,بِسْمِ ٱللَّهِ ٱلرَّحْمَٰنِ ٱلرَّحِيمِ विसमिल्लाहिर राहमानिर राहीम وَٱلْعَصْرِ ओयाल असर। إِنَّ ٱلْإِنسَٰنَ لَفِى خُسْرٍ इन्ना आलइनसाना लाफी खुसर إِلَّا ٱلَّذِينَ ءَامَنُوا۟ وَعَمِلُوا۟ ٱلصَّٰلِحَٰتِ وَتَوَاصَوْا۟ بِٱلْحَقِّ وَتَوَاصَوْا۟ بِٱلصَّبْرِ इल्ला आल्लाजीना आ'मानू ओया आ'मिलुस सोलिहाती ओयात्ता ओयासाओ विल हक़् ओयात्ता ओयासाओ विस्सवर 
بِسْمِ ٱللَّهِ ٱلرَّحْمَٰنِ ٱلرَّحِيمِ‎ Bismi l-lāhi r-raḥmāni r-raḥīm(i) قُلْ أَعُوذُ بِرَبِّ ٱلنَّاسِ ۝‎ 1 Qul ’a‘ūdhu birabbi n-nās(i) مَلِكِ ٱلنَّاسِ ۝‎ 2 Maliki n-nās(i) إِلَٰهِ ٱلنَّاسِ ۝‎ 3 ’ilāhi n-nās(i) مِن شَرِّ ٱلْوَسْوَاسِ ٱلْخَنَّاسِ ۝‎ 4 Min sharri l-waswāsi l-khannās(i) ٱلَّذِى يُوَسْوِسُ فِى صُدُورِ ٱلنَّاسِ ۝‎ 5 ’al ladhī yuwaswisu fī ṣudūri n-nās(i) مِنَ ٱلْجِنَّةِ وَٱلنَّاسِ ۝‎ 6 Mina l-jinnati wannās(i) ,بِسْمِ ٱللَّهِ ٱلرَّحْمَٰنِ ٱلرَّحِيم विसमिल्लाहिर राहमानिर राहीम। قُلْ أَعُوذُ بِرَبِّ ٱلنَّاسِ 1क़ुल अऊजु विराव्विन नास। مَلِكِ اِ۬لنَّاسِ 2 मालिकीन् नास। إِلَٰهِ اِ۬لنَّاسِ 3इलाहिन् नास। مِن شَرِّ اِ۬لۡوَسۡوَاسِ اِ۬لۡخَنَّاسِ 4 मिन शार्रिल ओयस ओयासिल खन्नास। اِ۬لَّذِے يُوَسۡوِسُ فِے صُدُورِ اِ۬لنَّاس 5 अल्लाज़ी य्युओयासू य्यिसु फी सुदुरिन नास। مِنَ اَ۬لۡجِنَّةِ وَالنَّاسِ 6 मिनाल जिन्नाति ओया अन नास। 
Meanings ,अर्थः 
"1 Say: ""I seek refuge with (Allah) the Lord of mankind, 2 ""The King of mankind, 3 ""The Ilah (God) of mankind, 4 ""From the evil of the whisperer (devil who whispers evil in the hearts of men) who withdraws (from his whispering in one's heart after one remembers Allah), 5 ""Who whispers in the breasts of mankind, 6 ""Of jinns and men."" Translation:Noble Quran,[3] 1999 ","1 भाषस्व, अहम् आश्रये मनुष्यानां प्रतिपालकम्, 2 ""मनुष्यानां सम्राजम्, 3 ""मनुष्यानां इलाहम्*, 4 ""प्रतिघातकस्य कुमन्त्रकस्य अनिष्टात्, 5 ""यः कुमन्त्रयते मनुष्यानां मस्तिष्केषु,, 6 ""दानवेभ्यः मनुष्येभ्यः च।"" ★इलाह शव्दस्य अर्थः, ईश्वरः देवः वा भवति Translation:Noble Quran,[3] 1999 "
"Mankind (Arabic: الناس‎, romanized: al-nās) is the 114th and last chapter (sūrah) of the Qur'an. It is a short six-verse invocation. ",सूरा अल नास कुरआन शास्त्रस्य चतुर्दशोऽधिक शततमोऽध्यायः अस्ति। अस्य मदीना नगरे अवतीर्णः अघटत्। 
"Regarding the timing and contextual background of the believed revelation (asbāb al-nuzūl), it is an earlier ""Meccan surah"", which indicates a revelation in Mecca as opposed to Medina. Early Muslims were persecuted in Mecca where Muhammed was not a leader, and not persecuted in Medina, where he was a protected leader. ",R 
Text and meaning ,पाठोच्चारणम् 
"Mahisasuramardini মহিষাসুরমর্দ্দিনী Other names Chandipath Mahalaya Genre religious Running time 1 hr 29 mins Country of origin India Language(s) Bengali, Sanskrit Home station Akashvani Written by Bani Kumar – Script-Writing Pankaj Mullick – Music Composition Birendra Krishna Bhadra – Narration and Recitation of Scriptures Narrated by Birendra Krishna Bhadra Original release 1931 – present Opening theme Conch blowing sound and Ya Chandi Song Ending theme Shanti Dile Bhori song and Conch blowing sound ","महिषासुरमर्दिनी মহিষাসুরমর্দ্দিনী अपरनामानि चण्डीपाठः महालया विद्या धार्मिकः चलनस्य समयः १ होरा २९ मिनिटानि मूलदेशः भारतम् भाषा(ः) वङ्गभाषा, संस्कृतम् स्थात्रम् आकाशवाणी द्वारा लिखितम् बाणी कुमार् – लिपि-लेखनम् पंकज् मुल्लिक् – गीतस्य रचना बिरेन्द्रकृष्णभद्रः – शास्त्राणां व्याख्यानं पाठश्च द्वारा व्याख्यानम् बिरेन्द्रकृष्णभद्रः मूलविमोचनम् १९३१ – वर्तमानम् उद्घाटनविषयः शङ्खवादनध्वनिर् या चण्डी गीतञ्च अवसादकविषयः ""शांति दिले भोरी"" गीतं शङ्खवादनध्वनिश्च "
